,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,name
1521,5,4,17,12,0,13,26,26,26,26,ferman
1522,5,4,17,13,26,26,26,26,26,26,fern
1523,5,11,14,17,8,0,13,26,26,26,florian
1524,5,20,11,11,4,17,26,26,26,26,fuller
1525,6,14,17,3,4,13,26,26,26,26,gorden
1526,6,20,18,18,8,4,26,26,26,26,gussie
1527,7,0,12,26,26,26,26,26,26,26,ham
1528,7,0,25,4,11,26,26,26,26,26,hazel
1529,8,6,13,0,19,8,20,18,26,26,ignatius
1530,9,14,0,16,20,8,13,26,26,26,joaquin
1531,11,0,2,4,24,26,26,26,26,26,lacey
1532,11,0,20,17,8,4,26,26,26,26,laurie
1533,11,8,11,1,20,17,13,26,26,26,lilburn
1534,11,14,21,4,11,11,26,26,26,26,lovell
1535,11,14,21,4,19,19,26,26,26,26,lovett
1536,12,0,11,21,8,13,26,26,26,26,malvin
1537,12,0,13,18,14,13,26,26,26,26,manson
1538,15,17,0,19,19,26,26,26,26,26,pratt
1539,17,4,8,3,26,26,26,26,26,26,reid
1540,17,20,5,5,8,13,26,26,26,26,ruffin
1541,19,14,12,8,4,26,26,26,26,26,tomie
1542,21,8,13,2,4,26,26,26,26,26,vince
1543,22,0,24,11,0,13,3,26,26,26,wayland
1544,0,2,4,24,26,26,26,26,26,26,acey
1545,0,11,6,4,17,26,26,26,26,26,alger
1546,0,11,6,4,17,13,14,13,26,26,algernon
1547,0,12,0,18,0,26,26,26,26,26,amasa
1548,0,12,8,11,26,26,26,26,26,26,amil
1549,1,0,17,17,4,19,19,26,26,26,barrett
1550,1,17,8,19,19,26,26,26,26,26,britt
1551,1,20,17,13,18,26,26,26,26,26,burns
1552,2,0,11,7,14,20,13,26,26,26,calhoun
1553,2,7,17,8,18,19,24,26,26,26,christy
1554,2,11,4,19,20,18,26,26,26,26,cletus
1555,2,14,11,1,4,17,19,26,26,26,colbert
1556,2,14,20,17,19,11,0,13,3,26,courtland
1557,12,24,11,4,18,26,26,26,26,26,myles
1558,8,17,11,26,26,26,26,26,26,26,irl
1559,1,4,13,18,14,13,26,26,26,26,benson
1560,13,14,17,21,0,11,26,26,26,26,norval
1561,0,17,12,14,13,3,26,26,26,26,armond
1562,5,17,0,25,8,4,17,26,26,26,frazier
1563,19,7,14,12,15,18,14,13,26,26,thompson
1564,0,11,5,17,4,3,14,26,26,26,alfredo
1565,6,17,0,3,24,26,26,26,26,26,grady
1566,11,14,17,4,13,25,26,26,26,26,lorenz
1567,15,4,24,19,14,13,26,26,26,26,peyton
1568,18,4,11,3,14,13,26,26,26,26,seldon
1569,4,19,7,4,11,1,4,17,19,26,ethelbert
1570,4,21,0,26,26,26,26,26,26,26,eva
1571,6,8,11,12,0,13,26,26,26,26,gilman
1572,7,4,13,17,8,26,26,26,26,26,henri
1573,8,21,4,17,26,26,26,26,26,26,iver
1574,11,0,20,17,0,26,26,26,26,26,laura
1575,11,4,14,13,2,4,26,26,26,26,leonce
1576,12,0,12,8,4,26,26,26,26,26,mamie
1577,14,17,8,14,13,26,26,26,26,26,orion
1578,14,19,19,8,4,26,26,26,26,26,ottie
1579,17,20,3,14,11,5,26,26,26,26,rudolf
1580,18,4,11,12,4,17,26,26,26,26,selmer
1581,18,7,4,15,7,4,17,3,26,26,shepherd
1582,24,0,13,2,24,26,26,26,26,26,yancy
1583,0,1,1,8,4,26,26,26,26,26,abbie
1584,0,6,13,4,18,26,26,26,26,26,agnes
1585,0,17,13,8,4,26,26,26,26,26,arnie
1586,0,17,21,8,13,26,26,26,26,26,arvin
1587,1,11,0,13,2,7,4,26,26,26,blanche
1588,1,11,8,18,18,26,26,26,26,26,bliss
1589,2,0,18,18,8,4,26,26,26,26,cassie
1590,3,4,22,4,24,26,26,26,26,26,dewey
1591,3,8,4,6,14,26,26,26,26,26,diego
1592,3,14,17,17,26,26,26,26,26,26,dorr
1593,4,3,12,14,13,26,26,26,26,26,edmon
1594,4,18,19,4,18,26,26,26,26,26,estes
1595,6,8,11,5,14,17,3,26,26,26,gilford
1596,6,17,0,21,4,18,26,26,26,26,graves
1597,7,8,11,11,4,17,24,26,26,26,hillery
1598,11,0,20,17,4,11,26,26,26,26,laurel
1599,2,0,17,11,8,18,11,4,26,26,carlisle
1600,7,20,6,7,8,4,26,26,26,26,hughie
1601,14,17,21,4,11,26,26,26,26,26,orvel
1602,0,13,6,4,11,26,26,26,26,26,angel
1603,7,14,17,19,14,13,26,26,26,26,horton
1604,11,4,13,0,26,26,26,26,26,26,lena
1605,12,0,17,8,4,26,26,26,26,26,marie
1606,22,0,24,12,14,13,26,26,26,26,waymon
1607,0,17,13,14,26,26,26,26,26,26,arno
1608,1,20,17,13,8,4,26,26,26,26,burnie
1609,4,11,6,8,4,26,26,26,26,26,elgie
1610,5,0,13,13,8,4,26,26,26,26,fannie
1611,5,4,11,19,14,13,26,26,26,26,felton
1612,10,4,8,19,7,26,26,26,26,26,keith
1613,12,0,23,8,4,26,26,26,26,26,maxie
1614,13,8,11,18,26,26,26,26,26,26,nils
1615,18,8,4,26,26,26,26,26,26,26,sie
1616,18,14,13,13,24,26,26,26,26,26,sonny
1617,21,4,17,4,26,26,26,26,26,26,vere
1618,21,8,17,6,8,4,26,26,26,26,virgie
1619,1,4,13,9,12,0,13,26,26,26,benjman
1620,1,4,17,13,0,17,3,14,26,26,bernardo
1621,2,0,18,4,24,26,26,26,26,26,casey
1622,2,4,11,4,18,19,8,13,14,26,celestino
1623,2,4,15,7,20,18,26,26,26,26,cephus
1624,3,4,11,11,0,26,26,26,26,26,della
1625,7,0,17,19,26,26,26,26,26,26,hart
1626,7,8,11,11,0,17,24,26,26,26,hillary
1627,7,8,11,12,4,17,26,26,26,26,hilmer
1628,7,14,11,11,0,13,3,26,26,26,holland
1629,9,0,2,16,20,4,18,26,26,26,jacques
1630,9,14,7,13,24,26,26,26,26,26,johny
1631,9,14,17,3,14,13,26,26,26,26,jordon
1632,9,20,11,8,4,13,26,26,26,26,julien
1633,9,20,11,8,14,26,26,26,26,26,julio
1634,10,0,24,26,26,26,26,26,26,26,kay
1635,11,4,26,26,26,26,26,26,26,26,le
1636,11,4,4,17,14,24,26,26,26,26,leeroy
1637,11,8,18,19,14,13,26,26,26,26,liston
1638,11,14,19,19,26,26,26,26,26,26,lott
1639,3,14,24,11,4,26,26,26,26,26,doyle
1640,6,4,17,0,17,3,26,26,26,26,gerard
1641,0,11,5,14,13,25,14,26,26,26,alfonzo
1642,2,0,17,11,8,4,26,26,26,26,carlie
1643,1,17,0,13,2,7,26,26,26,26,branch
1644,1,20,18,7,26,26,26,26,26,26,bush
1645,4,11,6,8,13,26,26,26,26,26,elgin
1646,5,4,3,4,17,8,2,14,26,26,federico
1647,5,17,0,13,25,26,26,26,26,26,franz
1648,6,14,21,4,17,13,14,17,26,26,governor
1649,12,0,20,17,24,26,26,26,26,26,maury
1650,13,0,13,2,24,26,26,26,26,26,nancy
1651,18,0,11,21,0,19,14,17,4,26,salvatore
1652,22,4,17,13,4,17,26,26,26,26,werner
1653,4,3,22,26,26,26,26,26,26,26,edw
1654,4,17,13,4,18,19,14,26,26,26,ernesto
1655,5,4,3,26,26,26,26,26,26,26,fed
1656,5,14,24,26,26,26,26,26,26,26,foy
1657,6,0,11,4,13,26,26,26,26,26,galen
1658,6,4,13,8,4,26,26,26,26,26,genie
1659,7,9,0,11,12,0,17,26,26,26,hjalmar
1660,11,0,22,19,14,13,26,26,26,26,lawton
1661,11,4,21,8,13,26,26,26,26,26,levin
1662,11,8,18,7,26,26,26,26,26,26,lish
1663,15,0,18,2,0,11,26,26,26,26,pascal
1664,15,14,18,4,24,26,26,26,26,26,posey
1665,17,4,3,12,14,13,3,26,26,26,redmond
1666,17,14,18,4,13,3,14,26,26,26,rosendo
1667,19,0,11,12,0,3,6,4,26,26,talmadge
1668,22,8,13,5,14,17,3,26,26,26,winford
1669,0,1,8,4,26,26,26,26,26,26,abie
1670,0,11,19,0,26,26,26,26,26,26,alta
1671,0,11,21,4,17,26,26,26,26,26,alver
1672,0,13,0,19,14,11,4,26,26,26,anatole
1673,1,14,1,1,8,4,26,26,26,26,bobbie
1674,1,14,14,13,4,26,26,26,26,26,boone
1675,1,20,4,11,11,26,26,26,26,26,buell
1676,2,11,0,8,1,14,17,13,4,26,claiborne
1677,11,14,24,0,11,26,26,26,26,26,loyal
1678,4,3,20,0,17,3,14,26,26,26,eduardo
1679,12,0,6,6,8,4,26,26,26,26,maggie
1680,13,4,4,3,7,0,12,26,26,26,needham
1681,12,0,13,18,5,8,4,11,3,26,mansfield
1682,17,0,18,26,26,26,26,26,26,26,ras
1683,6,20,8,11,5,14,17,3,26,26,guilford
1684,18,8,13,6,26,26,26,26,26,26,sing
1685,23,0,21,8,4,17,26,26,26,26,xavier
1686,2,7,0,17,11,19,14,13,26,26,charlton
1687,4,20,11,0,26,26,26,26,26,26,eula
1688,12,2,10,8,13,11,4,24,26,26,mckinley
1689,15,14,11,10,26,26,26,26,26,26,polk
1690,18,7,4,11,11,8,4,26,26,26,shellie
1691,1,4,13,19,11,4,24,26,26,26,bentley
1692,2,11,0,20,3,8,20,18,26,26,claudius
1693,2,14,13,0,17,3,26,26,26,26,conard
1694,2,14,17,13,4,11,11,26,26,26,cornell
1695,4,18,19,4,17,26,26,26,26,26,ester
1696,4,18,19,7,4,17,26,26,26,26,esther
1697,12,0,4,26,26,26,26,26,26,26,mae
1698,12,8,11,3,17,4,3,26,26,26,mildred
1699,13,4,4,11,24,26,26,26,26,26,neely
1700,14,22,4,13,18,26,26,26,26,26,owens
1701,17,0,13,2,4,26,26,26,26,26,rance
1702,17,4,3,26,26,26,26,26,26,26,red
1703,17,14,1,1,8,4,26,26,26,26,robbie
1704,18,8,6,20,17,3,26,26,26,26,sigurd
1705,19,4,3,3,24,26,26,26,26,26,teddy
1706,21,0,11,26,26,26,26,26,26,26,val
1707,0,11,12,20,18,26,26,26,26,26,almus
1708,18,7,4,17,8,3,0,13,26,26,sheridan
1709,11,14,17,8,13,26,26,26,26,26,lorin
1710,2,0,17,12,8,13,4,26,26,26,carmine
1711,9,14,13,13,8,4,26,26,26,26,jonnie
1712,10,4,13,19,26,26,26,26,26,26,kent
1713,12,20,17,11,26,26,26,26,26,26,murl
1714,17,8,2,0,17,3,14,26,26,26,ricardo
1715,22,8,11,5,17,8,3,26,26,26,wilfrid
1716,0,3,11,0,8,26,26,26,26,26,adlai
1717,1,20,3,3,8,4,26,26,26,26,buddie
1718,1,20,17,10,26,26,26,26,26,26,burk
1719,3,4,18,18,8,4,26,26,26,26,dessie
1720,4,3,8,18,14,13,26,26,26,26,edison
1721,6,8,5,5,14,17,3,26,26,26,gifford
1722,6,14,11,3,8,4,26,26,26,26,goldie
1723,7,20,17,1,4,17,19,26,26,26,hurbert
1724,8,21,4,17,18,14,13,26,26,26,iverson
1725,9,14,1,26,26,26,26,26,26,26,job
1726,11,4,0,12,14,13,26,26,26,26,leamon
1727,14,11,8,21,4,26,26,26,26,26,olive
1728,15,14,22,4,11,11,26,26,26,26,powell
1729,17,4,23,5,14,17,3,26,26,26,rexford
1730,17,14,12,0,26,26,26,26,26,26,roma
1731,17,14,12,8,4,26,26,26,26,26,romie
1732,21,8,2,10,26,26,26,26,26,26,vick
1733,22,0,11,3,4,12,0,17,26,26,waldemar
1734,25,4,1,20,11,14,13,26,26,26,zebulon
1735,0,11,5,4,17,3,26,26,26,26,alferd
1736,0,11,6,14,19,26,26,26,26,26,algot
1737,0,11,15,7,14,13,18,26,26,26,alphons
1738,0,20,3,11,4,24,26,26,26,26,audley
1739,1,0,17,13,0,17,3,26,26,26,barnard
1740,1,4,17,10,11,4,24,26,26,26,berkley
1741,1,4,19,7,4,11,26,26,26,26,bethel
1742,2,0,17,14,11,8,13,4,26,26,caroline
1743,2,14,17,1,4,19,19,26,26,26,corbett
1744,17,20,19,7,26,26,26,26,26,26,ruth
1745,5,8,3,4,11,26,26,26,26,26,fidel
1746,6,20,8,11,11,4,17,12,14,26,guillermo
1747,12,20,17,17,24,26,26,26,26,26,murry
1748,17,4,20,1,8,13,26,26,26,26,reubin
1749,17,14,2,2,14,26,26,26,26,26,rocco
1750,18,0,12,18,14,13,26,26,26,26,samson
1751,22,4,18,19,11,4,24,26,26,26,westley
1752,0,11,1,0,26,26,26,26,26,26,alba
1753,8,17,4,13,4,26,26,26,26,26,irene
1754,12,20,17,3,14,2,10,26,26,26,murdock
1755,13,14,11,4,13,26,26,26,26,26,nolen
1756,17,14,24,2,4,26,26,26,26,26,royce
1757,17,20,4,11,26,26,26,26,26,26,ruel
1758,22,8,11,11,0,8,12,26,26,26,willaim
1759,1,4,17,24,11,26,26,26,26,26,beryl
1760,1,4,20,11,0,7,26,26,26,26,beulah
1761,1,20,17,11,4,8,6,7,26,26,burleigh
1762,2,0,17,17,14,11,26,26,26,26,carrol
1763,2,14,13,26,26,26,26,26,26,26,con
1764,3,8,11,11,14,13,26,26,26,26,dillon
1765,4,1,4,17,19,26,26,26,26,26,ebert
1766,4,13,2,0,17,13,0,2,8,14,encarnacion
1767,2,4,3,17,8,2,26,26,26,26,cedric
1768,4,18,19,4,11,26,26,26,26,26,estel
1769,12,0,24,14,26,26,26,26,26,26,mayo
1770,18,7,4,11,11,4,24,26,26,26,shelley
1771,19,7,14,17,22,0,11,3,26,26,thorwald
1772,3,20,17,22,0,17,3,26,26,26,durward
1773,11,20,18,19,4,17,26,26,26,26,luster
1774,0,17,13,4,19,19,26,26,26,26,arnett
1775,0,20,1,17,0,26,26,26,26,26,aubra
1776,0,21,14,13,26,26,26,26,26,26,avon
1777,1,14,11,3,4,13,26,26,26,26,bolden
1778,3,0,13,13,8,4,26,26,26,26,dannie
1779,4,11,4,23,26,26,26,26,26,26,elex
1780,5,4,17,17,8,18,26,26,26,26,ferris
1781,9,4,5,5,8,4,26,26,26,26,jeffie
1782,11,4,23,8,4,26,26,26,26,26,lexie
1783,11,8,13,10,26,26,26,26,26,26,link
1784,12,14,8,18,4,18,26,26,26,26,moises
1785,12,24,4,17,26,26,26,26,26,26,myer
1786,2,0,17,11,24,11,4,26,26,26,carlyle
1787,0,17,21,4,11,26,26,26,26,26,arvel
1788,4,17,1,24,26,26,26,26,26,26,erby
1789,5,11,14,24,26,26,26,26,26,26,floy
1790,7,20,6,7,4,24,26,26,26,26,hughey
1791,14,21,8,3,26,26,26,26,26,26,ovid
1792,0,11,18,19,14,13,26,26,26,26,alston
1793,0,20,3,17,4,24,26,26,26,26,audrey
1794,1,20,3,3,24,26,26,26,26,26,buddy
1795,2,11,4,12,12,8,4,26,26,26,clemmie
1796,2,11,4,12,14,13,26,26,26,26,clemon
1797,3,14,17,14,19,7,24,26,26,26,dorothy
1798,4,8,13,0,17,26,26,26,26,26,einar
1799,6,20,17,13,4,24,26,26,26,26,gurney
1800,7,4,1,4,17,19,26,26,26,26,hebert
1801,7,4,25,25,8,4,26,26,26,26,hezzie
1802,10,20,17,19,26,26,26,26,26,26,kurt
1803,11,14,8,18,26,26,26,26,26,26,lois
1804,11,20,11,0,26,26,26,26,26,26,lula
1805,12,4,0,17,11,26,26,26,26,26,mearl
1806,14,3,3,8,4,26,26,26,26,26,oddie
1807,17,0,12,18,4,24,26,26,26,26,ramsey
1808,21,8,13,19,14,13,26,26,26,26,vinton
1809,25,4,3,26,26,26,26,26,26,26,zed
1810,0,20,3,24,26,26,26,26,26,26,audy
1811,1,0,17,13,8,4,26,26,26,26,barnie
1812,3,14,13,0,19,26,26,26,26,26,donat
1813,4,12,12,14,13,18,26,26,26,26,emmons
1814,4,17,8,2,7,26,26,26,26,26,erich
1815,4,18,11,4,24,26,26,26,26,26,esley
1816,4,18,19,14,13,26,26,26,26,26,eston
1817,17,14,14,18,4,21,4,11,19,26,roosevelt
1818,7,0,17,19,11,4,24,26,26,26,hartley
1819,9,4,13,13,8,13,6,18,26,26,jennings
1820,7,14,1,4,17,19,26,26,26,26,hobert
1821,12,14,13,19,8,4,26,26,26,26,montie
1822,17,0,4,26,26,26,26,26,26,26,rae
1823,0,17,21,8,11,26,26,26,26,26,arvil
1824,2,0,18,8,12,4,17,26,26,26,casimer
1825,4,11,22,24,13,26,26,26,26,26,elwyn
1826,4,21,0,13,3,4,17,26,26,26,evander
1827,6,0,8,19,7,4,17,26,26,26,gaither
1828,6,17,0,5,19,14,13,26,26,26,grafton
1829,6,20,19,7,17,8,4,26,26,26,guthrie
1830,9,4,19,19,8,4,26,26,26,26,jettie
1831,11,0,13,13,8,4,26,26,26,26,lannie
1832,11,4,0,26,26,26,26,26,26,26,lea
1833,12,14,4,26,26,26,26,26,26,26,moe
1834,13,4,18,19,14,17,26,26,26,26,nestor
1835,14,21,8,11,0,26,26,26,26,26,ovila
1836,17,4,24,13,14,11,3,26,26,26,reynold
1837,17,4,24,13,14,11,3,18,26,26,reynolds
1838,18,20,18,8,4,26,26,26,26,26,susie
1839,19,17,20,4,26,26,26,26,26,26,true
1840,0,11,22,8,13,26,26,26,26,26,alwin
1841,2,0,18,8,12,8,17,26,26,26,casimir
1842,21,4,17,6,8,11,26,26,26,26,vergil
1843,7,0,25,4,13,26,26,26,26,26,hazen
1844,18,8,6,12,20,13,3,26,26,26,sigmund
1845,18,0,8,13,19,26,26,26,26,26,saint
1846,18,8,11,21,4,17,26,26,26,26,silver
1847,4,20,6,4,13,8,14,26,26,26,eugenio
1848,11,8,18,11,4,26,26,26,26,26,lisle
1849,12,8,11,1,20,17,13,26,26,26,milburn
1850,2,0,17,12,4,13,26,26,26,26,carmen
1851,14,17,17,8,18,26,26,26,26,26,orris
1852,17,0,24,5,14,17,3,26,26,26,rayford
1853,17,0,24,12,14,13,26,26,26,26,raymon
1854,21,8,17,6,4,11,26,26,26,26,virgel
1855,0,11,14,24,18,26,26,26,26,26,aloys
1856,2,0,12,26,26,26,26,26,26,26,cam
1857,7,0,11,4,26,26,26,26,26,26,hale
1858,13,8,11,4,26,26,26,26,26,26,nile
1859,14,5,5,8,4,26,26,26,26,26,offie
1860,14,15,0,11,26,26,26,26,26,26,opal
1861,17,14,18,0,26,26,26,26,26,26,rosa
1862,22,0,17,3,4,11,11,26,26,26,wardell
1863,22,8,11,11,24,26,26,26,26,26,willy
1864,0,2,24,26,26,26,26,26,26,26,acy
1865,0,17,19,7,14,17,26,26,26,26,arthor
1866,1,14,24,18,8,4,26,26,26,26,boysie
1867,1,17,8,19,19,14,13,26,26,26,britton
1868,14,17,8,18,26,26,26,26,26,26,oris
1869,6,11,0,3,24,18,26,26,26,26,gladys
1870,6,4,14,17,6,8,0,26,26,26,georgia
1871,1,17,24,14,13,26,26,26,26,26,bryon
1872,4,11,21,8,4,26,26,26,26,26,elvie
1873,5,17,0,13,10,8,4,26,26,26,frankie
1874,12,0,17,8,14,26,26,26,26,26,mario
1875,15,0,18,16,20,0,11,4,26,26,pasquale
1876,17,7,14,3,0,26,26,26,26,26,rhoda
1877,17,14,18,18,8,4,26,26,26,26,rossie
1878,18,7,4,17,22,14,14,3,26,26,sherwood
1879,1,20,4,11,26,26,26,26,26,26,buel
1880,2,11,4,0,17,4,13,2,4,26,clearence
1881,3,0,1,13,4,24,26,26,26,26,dabney
1882,3,8,0,12,14,13,3,26,26,26,diamond
1883,3,14,17,17,8,18,26,26,26,26,dorris
1884,4,21,4,17,4,19,26,26,26,26,everet
1885,4,25,4,11,11,26,26,26,26,26,ezell
1886,7,14,1,18,14,13,26,26,26,26,hobson
1887,0,3,12,8,17,0,11,26,26,26,admiral
1888,18,7,0,5,19,4,17,26,26,26,shafter
1889,12,0,2,4,14,26,26,26,26,26,maceo
1890,18,2,7,11,4,24,26,26,26,26,schley
1891,4,22,0,17,19,26,26,26,26,26,ewart
1892,15,0,19,18,24,26,26,26,26,26,patsy
1893,0,17,1,0,26,26,26,26,26,26,arba
1894,14,17,21,8,11,26,26,26,26,26,orvil
1895,0,3,0,12,18,26,26,26,26,26,adams
1896,2,14,11,11,8,4,17,26,26,26,collier
1897,6,0,24,11,4,26,26,26,26,26,gayle
1898,6,11,0,3,18,19,14,13,4,26,gladstone
1899,7,8,11,0,17,8,14,26,26,26,hilario
1900,10,0,19,7,17,24,13,26,26,26,kathryn
1901,12,8,2,10,4,24,26,26,26,26,mickey
1902,14,3,20,18,26,26,26,26,26,26,odus
1903,21,4,17,13,0,11,26,26,26,26,vernal
1904,21,14,13,26,26,26,26,26,26,26,von
1905,7,0,21,4,13,26,26,26,26,26,haven
1906,22,8,11,11,8,0,17,3,26,26,williard
1907,18,19,4,15,7,0,13,26,26,26,stephan
1908,2,14,11,11,8,18,26,26,26,26,collis
1909,6,17,8,5,5,8,19,7,26,26,griffith
1910,9,4,19,7,17,14,26,26,26,26,jethro
1911,21,8,2,26,26,26,26,26,26,26,vic
1912,21,8,14,11,0,26,26,26,26,26,viola
1913,1,0,10,4,17,26,26,26,26,26,baker
1914,1,4,0,19,17,8,2,4,26,26,beatrice
1915,1,24,13,20,12,26,26,26,26,26,bynum
1916,2,14,11,21,8,13,26,26,26,26,colvin
1917,3,14,17,8,18,26,26,26,26,26,doris
1918,4,11,8,25,0,7,26,26,26,26,elizah
1919,4,20,13,8,2,4,26,26,26,26,eunice
1920,11,4,8,6,7,19,14,13,26,26,leighton
1921,11,8,13,13,8,4,26,26,26,26,linnie
1922,11,8,25,25,8,4,26,26,26,26,lizzie
1923,17,14,18,4,21,4,11,19,26,26,rosevelt
1924,5,0,17,17,8,18,26,26,26,26,farris
1925,11,4,12,12,8,4,26,26,26,26,lemmie
1926,4,18,19,4,11,11,26,26,26,26,estell
1927,6,14,4,1,4,11,26,26,26,26,goebel
1928,19,0,11,11,8,4,26,26,26,26,tallie
1929,0,17,11,14,26,26,26,26,26,26,arlo
1930,0,17,19,8,18,26,26,26,26,26,artis
1931,2,14,11,11,8,13,26,26,26,26,collin
1932,4,3,3,24,26,26,26,26,26,26,eddy
1933,7,4,18,19,4,17,26,26,26,26,hester
1934,11,0,20,17,4,13,26,26,26,26,lauren
1935,11,20,15,4,26,26,26,26,26,26,lupe
1936,14,25,8,4,26,26,26,26,26,26,ozie
1937,18,0,11,21,0,3,14,17,26,26,salvador
1938,18,0,13,19,14,18,26,26,26,26,santos
1939,18,2,7,20,24,11,4,17,26,26,schuyler
1940,0,17,19,20,17,14,26,26,26,26,arturo
1941,3,14,13,14,21,0,13,26,26,26,donovan
1942,10,4,17,12,8,19,26,26,26,26,kermit
1943,4,8,13,14,26,26,26,26,26,26,eino
1944,14,11,0,13,26,26,26,26,26,26,olan
1945,3,0,13,13,24,26,26,26,26,26,danny
1946,11,14,11,0,26,26,26,26,26,26,lola
1947,4,18,2,14,26,26,26,26,26,26,esco
1948,9,14,18,4,5,26,26,26,26,26,josef
1949,11,0,13,2,4,26,26,26,26,26,lance
1950,11,4,14,13,0,26,26,26,26,26,leona
1951,12,0,19,7,4,22,18,26,26,26,mathews
1952,14,21,0,26,26,26,26,26,26,26,ova
1953,15,0,19,4,26,26,26,26,26,26,pate
1954,17,4,6,8,18,26,26,26,26,26,regis
1955,17,14,18,0,17,8,14,26,26,26,rosario
1956,21,8,19,14,26,26,26,26,26,26,vito
1957,0,3,17,14,13,26,26,26,26,26,adron
1958,0,13,2,8,11,26,26,26,26,26,ancil
1959,0,17,11,0,13,3,26,26,26,26,arland
1960,1,20,17,4,13,26,26,26,26,26,buren
1961,4,17,11,0,13,3,26,26,26,26,erland
1962,9,14,7,13,4,24,26,26,26,26,johney
1963,2,11,0,17,13,2,4,26,26,26,clarnce
1964,6,0,17,21,8,13,26,26,26,26,garvin
1965,0,6,20,18,19,8,13,26,26,26,agustin
1966,13,0,19,7,4,13,26,26,26,26,nathen
1967,14,13,4,0,11,26,26,26,26,26,oneal
1968,21,4,17,13,0,26,26,26,26,26,verna
1969,21,8,2,19,14,17,8,0,13,14,victoriano
1970,3,14,11,11,26,26,26,26,26,26,doll
1971,6,4,14,17,6,8,4,26,26,26,georgie
1972,7,4,24,22,0,17,3,26,26,26,heyward
1973,8,21,14,17,26,26,26,26,26,26,ivor
1974,12,24,17,11,26,26,26,26,26,26,myrl
1975,1,4,2,10,7,0,12,26,26,26,beckham
1976,19,7,4,3,14,17,4,26,26,26,thedore
1977,19,7,4,11,12,0,26,26,26,26,thelma
1978,19,17,8,13,8,3,0,3,26,26,trinidad
1979,21,4,17,11,26,26,26,26,26,26,verl
1980,4,21,4,11,24,13,26,26,26,26,evelyn
1981,7,4,17,18,7,4,11,11,26,26,hershell
1982,12,0,17,19,24,26,26,26,26,26,marty
1983,17,14,1,4,17,19,14,26,26,26,roberto
1984,19,4,3,3,8,4,26,26,26,26,teddie
1985,19,4,17,17,4,11,11,26,26,26,terrell
1986,7,8,11,1,4,17,19,26,26,26,hilbert
1987,11,4,13,14,13,26,26,26,26,26,lenon
1988,11,4,13,14,17,3,26,26,26,26,lenord
1989,14,25,25,8,4,26,26,26,26,26,ozzie
1990,15,14,17,5,8,17,8,14,26,26,porfirio
1991,18,0,12,12,24,26,26,26,26,26,sammy
1992,17,0,24,5,8,4,11,3,26,26,rayfield
1993,22,0,8,13,14,26,26,26,26,26,waino
1994,2,11,4,12,4,13,2,4,26,26,clemence
1995,7,0,17,12,26,26,26,26,26,26,harm
1996,9,0,12,8,4,26,26,26,26,26,jamie
1997,21,8,13,2,4,13,25,14,26,26,vincenzo
1998,22,4,11,19,14,13,26,26,26,26,welton
1999,0,3,17,0,8,13,26,26,26,26,adrain
2000,0,17,1,8,4,26,26,26,26,26,arbie
2001,1,4,19,19,24,26,26,26,26,26,betty
2002,1,14,1,1,24,26,26,26,26,26,bobby
2003,3,4,18,12,14,13,3,26,26,26,desmond
2004,3,14,12,4,13,8,2,26,26,26,domenic
2005,3,20,0,17,3,26,26,26,26,26,duard
2006,17,0,20,11,26,26,26,26,26,26,raul
2007,18,4,21,4,17,14,26,26,26,26,severo
2008,19,14,1,8,4,26,26,26,26,26,tobie
2009,2,14,20,13,2,8,11,26,26,26,council
2010,3,14,12,4,13,8,2,10,26,26,domenick
2011,3,0,17,17,4,11,26,26,26,26,darrel
2012,6,17,0,24,3,14,13,26,26,26,graydon
2013,5,17,4,3,8,4,26,26,26,26,fredie
2014,4,11,8,14,19,26,26,26,26,26,eliot
2015,7,14,10,4,26,26,26,26,26,26,hoke
2016,15,0,20,11,8,13,4,26,26,26,pauline
2017,19,24,17,4,4,26,26,26,26,26,tyree
2018,0,17,13,4,26,26,26,26,26,26,arne
2019,1,4,11,11,26,26,26,26,26,26,bell
2020,2,0,17,11,14,26,26,26,26,26,carlo
2021,7,0,13,18,4,11,26,26,26,26,hansel
2022,9,8,11,4,18,26,26,26,26,26,jiles
2023,11,4,14,13,0,17,3,14,26,26,leonardo
2024,16,20,4,13,19,8,13,26,26,26,quentin
2025,19,14,1,24,26,26,26,26,26,26,toby
2026,21,4,17,11,8,13,26,26,26,26,verlin
2027,22,8,13,19,7,17,14,15,26,26,winthrop
2028,3,14,12,4,13,8,2,14,26,26,domenico
2029,7,0,17,17,14,11,3,26,26,26,harrold
2030,11,20,2,8,11,11,4,26,26,26,lucille
2031,17,24,0,13,26,26,26,26,26,26,ryan
2032,1,4,13,0,17,3,26,26,26,26,benard
2033,16,20,8,13,19,14,13,26,26,26,quinton
2034,17,14,3,14,11,5,14,26,26,26,rodolfo
2035,0,17,12,0,13,3,14,26,26,26,armando
2036,3,4,11,12,0,18,26,26,26,26,delmas
2037,3,4,13,25,8,11,26,26,26,26,denzil
2038,11,20,2,8,0,13,14,26,26,26,luciano
2039,11,24,13,3,14,13,26,26,26,26,lyndon
2040,21,4,17,0,26,26,26,26,26,26,vera
2041,19,0,5,19,26,26,26,26,26,26,taft
